"model","term","Estimate","Std. Error","t value","Pr(>|t|)"
"Real ITS","(Intercept)",0.0606732577328815,0.215504082315867,0.281541106232744,0.778592424448034
"Real ITS","t",0.0224176165362703,0.00311703409797689,7.19197026135212,1.31701790111933e-11
"Real ITS","I_t",2.13951978127304,0.335533535476038,6.37647076986686,1.27264720417096e-09
"Real ITS","counter",0.0146763677174651,0.0063660668491135,2.30540584403521,0.0221905731114359
"Placebo ITS","(Intercept)",0.337042487507409,0.319300582361015,1.05556490068137,0.293379575665694
"Placebo ITS","t",0.0101858019019598,0.00925606146599378,1.10044665750998,0.273435702345499
"Placebo ITS","I_t",0.724833183880622,0.444157632121302,1.63192779198415,0.105430133494787
"Placebo ITS","counter",0.006190523792639,0.0129281026904147,0.478842405639991,0.632959951126343
